restaurant,menu,review,annotator,food,delvice,label
호세야오리바베큐-구의점,"1인오리볶음밥/1,소주/1",그냥밥위에 오리고기잘게얹은게 볶음밥인가요? 쬐소한볶아라도주시지,희락,1,3,1
대풍족발보쌈,100% 대풍족발/1(사이즈 선택(小)),고기도 두껍고 막국수가 너무 맛있어요,희락,5,3,7
용봉대반점,탕볶밥/1,"탕볶밥 먹는데 75분을 기다렸네요 배달 예정시간보다 35분을 더 늦는데 별다른 연락도 없네요. 45분 지나고 전화하니까 출발한다고 하시고, 15분이 더 지나도 도착을 안 해서 또 전화를 하니 출발했다고 하시고, 10분이 더 지나서야 왔네요?  늦는 이유를 설명해주시든지, 처음 전화했을때 솔직하게 말해주셨으면 25분을 더 기다리고 전화를 또 하는 수고는 없었을텐데요. 맛은 있습니다. 배가 안 고프고 1시간 20분정도 기다릴수 있으면 시켜먹으면 될 것 같네요. 저는 재주문 할 생각 없습니다.",희락,5,1,6
벌떡떡볶이-이수점,"로제떡볶이/1(맛 선택(조금덜매운맛 （20%）),추가 선택(중국당면 추가))",매번 잘 시켜먹고 있습니다~ 근처에 벌떡이 있어서 넘 좋아요! 저번처럼 국물닭발을 먹을까 하다가 벌떡에도 로제떡볶이가 나왔다고 하길래 주저하지 않고 주문했습니다  믿고 먹는 벌떡! 제일 좋았던 건 누들떡이 얇아서 그런지 소스가 많이 묻어있어서 더 맛있게 먹을 수 있었어요! 근데 개인적으로는 맵기를 조절해서 좀 더 매콤하게 먹을 수 있었으면 좋겠어요,희락,5,3,7
호식이두마리치킨-한양대점,"순살치킨 ＋ 순살치킨/1(순살 소스선택(양념),순살 소스선택(간장),기본음료선택(콜라 기본))",배달 예상 시간보다 25분 더 늦게 받았네요..비도 오고 해서 이해 하려고 하는데 어토바이로 10분도 안걸리는 거리를 30분 걸려서 오는건 이해가 안되네요. 총 115분 기다렸습니다.,희락,3,1,3
내사랑을먹어주세요,"내사 딸기화채/1(베이스 당도 선택(150%（기본＋50%）)),파인애플주스/1(당도 선택(100%（기본）),메뉴 선택(파인애플주스 M))",사장님 과일 맛좀보고 싸오세요 ㅠㅠ 정말 돈아깝네,희락,1,3,1
돈까스본능by놀부-잠실점,김치치즈돈까스＋크림파스타（토핑추가）＋음료500ml（선택）/1(음료선택(콜라（500ml）)),김치치돈 존맛이에요,희락,5,3,7
파리바게뜨-사당파스텔시티점,"더스퀘어 쿠키앤크림/1(포크선택(1개)),더스퀘어 초코생크림/1(포크선택(1개)),더스퀘어딸기초코생크림/1(포크선택(1개)),더스퀘어 4개 세트박스/1","선물하려고 더스퀘어 케이크 상자까지 주문했습니다. 포크를 상자 한 쪽에 둘 공간이 충분했는데, 굳이 케이크 위에 얹어서 종이 상자를 어거지로 끼우셔야 했는지..? 찢어진 탓에 상자는 자꾸 벌어지고, 종이는 갈수록 헤져서 기분이 좋지 못하네요^^..",희락,3,1,3
오니기리와이규동-성수점,"구운스팸 오니기리/1,챠슈데리야끼동/1(사이즈 선택(Medium)),나가사키짬뽕/1",나가사키짬뽕이 다 흘렸고 맛이 싱거워요. 담엔 다른 음식점에서 시켜먹겠습니다,희락,1,3,1
영진마라탕,"마라탕/1(사이즈 선택(중),맛선택（1／10단계）(중간맛 오리지날 3／4단계),야채류(숙주,청경채,고수,콩나물),버섯류(팽이버섯),면(옥수수면,녹두면,수정당면),고명(푸주,건두부,치즈떡,고구마떡),고기류（100g）(양고기))",음..자주 시켜먹었는데..이번은 좀 별로네요 토핑 치즈떡 고구마떡 시켰는데 왜 없는거죠? 아무리 찾아도 없길래 밑에 있나 했는데 다 먹었는데 없더라고요 그리고 요청사항도 보시질 않았나보네요. 좀 아쉬웠습니다.,희락,3,1,3
당산분식,"순대/1(순대 선택(순대＋내장（간＋허파＋오소리감투＋오돌뼈＋염통）)),어묵 4개/1,충무김밥/1",익스프레스 배달원이 벨도 안누르고 음식 집앞에 툭  던지고 갔네요 하도안와서 문열어보니 있네요,희락,3,1,3
아방궁,"짜장면/1,짬뽕/1",짜장면은 맛있었지만..짬뽕은 점심때 만들어놓은건지 야채는 흐물흐물..오징어는 딱딱하구..데워서 대충 보내주시는거 정말 별루네요~적당히 데워서 보내세요..넘 오랜시간 방치한 짬뽕이엇어요..전엔 한시간 넘게 걸리구..믿고 배달 시키고 싶어요~,희락,3,3,4
장독대김치찌개-선릉점,제육쌈밥 정식/1,"맛은 평가다르게 맵지않고 짜지않은 무난한 맛이에요, 양대비  가격은 괜찮아요. 매운것  좋아하시면 안맞아용",희락,3,3,4
길동우동-봉천역점,"길동우동/1,떡볶이세트/1",양도 많고 배달도 좋았는데 여기음식 먹은후 소변이 쉴세없이 나오고 관절환자인 제뼈가 아파 걷기도 힘듭니다,희락,3,5,5
GS25-봉천낙성점,"돼지X돼지 안주세트/1(Set 선택 1(반반족보세트（족발&보쌈） ＋ 코카콜라PET500ML)),롯데）칠성사이다＋펩시콜라1.25L/2,비닐봉투/1","시스템상 뭔가 헷갈릴 수도 있다는 생각은 들었습니다만, 진짜로 이럴 줄은 몰랐네요. 사이다펩시콜라 1.25L 묶음인 제품을 2개 주문 했더니, 사이다 하나 콜라 하나 라고 잘못 생각하셨는지 사이다펩시콜라 묶음 상품 하나만 넣어서 배송 해주셨네요. 결국 1.25리터짜리 펩시 콜라 하나에 2980원, 1.25리터짜리 칠성 사이다 하나에 2980원 가격으로 사버린게 됐네요. 다음에 다른 손님분들이 주문할 때는 이런 일이 없도록 시스템적으로 고쳐졌으면 합니다.",희락,3,1,3
딜리셧부티끄샐러드-강남점,"바질 리코타 샐러드/1,데리 목살 라이스볼/1",라이스메뉴인데 숟가락안주심 요청했음에도 ㅜ 집도아니구 밖인데 난처하네요,희락,3,1,3
마라하오-관악점,"2~3인 마라샹궈/1(맵기 선택(보통맛),공기밥 선택(포함))",저번에 먹었던 그 맛이 아니에요. 똑같이 저번과 재주문 동일했는데 마라의 자극적인 맛이 없었습니다,희락,1,3,1
BHC-사당점,뿌링클 콤보＋치즈볼/1,아이가 좋아해요^^,희락,5,3,7
호야생과일쥬스&눈꽃빙수,"리얼생딸기주스/1,모듬 과일 도시락 1인/1",생과일 쥬스는 맛있습니다. 과일 도시락은 구성도 그렇고 양도 그렇고 다시 안먹을것 같습니다. 배달도 엄청 늦게왔습니다. 리뷰보니 배달관련 얘기가 많은데 업체를 쓰신다면 얘기를 한번 해보시는게 좋을 것 같네요.,희락,3,1,3
호세야오리바베큐-논현점,"모듬장작바베큐 中（통삼겹＋오리장작）/1,백김치/1",양이 예전에 비해 너무 많이줄었네요 좀 실망스러웠어요,희락,1,3,1
호식이두마리치킨-대림점,"뼈한마리/1(뼈 소스선택(후라이드),기본음료선택(콜라 기본))",닭이 덜 튀겨져서 왔습니다 튀김이 눅눅라게 되어있었습니다,희락,1,3,1
태동관짜장2900원-구의점,"짜장면/1(곱빼기 추가선택(곱빼기 추가)),짬뽕밥/1,양장피/1",면이 다불고 달고 맛이 그닥ㅜㅜ 음식이  전반적으로 달았어요,희락,1,3,1
낭만각,"옛날짜장/1(추가 선택(곱빼기 추가)),짬뽕/2,볶음밥/1(추가 선택(곱빼기 추가))",맛있었는데  배달은 너무 늦었어요ㅠㅠ,희락,5,1,6
BHC-홍대점,뿌링클HOT순살/1,너무 매워요 너무 매워요,희락,1,3,1
에그드랍-동대문점,"데리야끼바베큐/1(추가 선택(계란프라이 추가),브레드 변경 추가 선택(변경 안함)),제주말차라떼/1(HOT or ICE(ICE),추가 선택(빅사이즈로 변경))",제주말차라떼 빅사이즈를 시켰는데 스몰사이즈의 아메리카노 ? 가 왔어요 .. 샌드위치는 맛있었지만 그 부분이 많이 아쉬워요,희락,5,1,6
명성원-마포점,"공기밥/1,세트0（탕수육＋짜장1＋군만두 6p）/1",맛과 배달 모든게 만족이요! 요청 사항도 잘 들어주셔서 감사해요,희락,5,5,8
