brand,menu,star,review
네네치킨-정자점,"순살 반반/1(반마리 선택(순살매콤치즈스노윙반,순살양념반))",2,"항상 만점을 드렸었는데..
도착 시간을 훌쩍 넘어도 아무런 연락이 없길래 전화 드리니 
""진작 배달 완료 됐다""고 하셔서 그때부터 느낌이 싸했는데..
다른집에 잘 못 배달됐다고.. 그 후로도 17분이 더 걸려서 치킨을 받았습니다.(다식었더군요)
오랜시간 밖에 돌아다녔던 치킨을 먹는다 생각하니 당연히 환불요청하고 싶었지만 사장님께서 ""배달하는 친구가 잘못했으니 물어내라고 하고 다시 배달해줄까요?""라고 하셨는데.. 
저는 6:40분에 주문해서 21시 넘어서 치킨받고, 배달기사님도 생각해서 됐다고 했습니다. 다음부턴 배달도 신경써주세요"
무국적식탁-광진점,1인 우（牛）삼겹 스키야키 우동/1,2,짜기만하고 뭔맛인지 모르겠어요... 원래 짜게먹는데 이건 너무짬. 리뷰가 좋아서 시켰는데.. 그리고 날계란 넣어먹으라고 주신거같은데 익을만큼 뜨겁지도 않고 걍 애매했음.
장독대김치찌개-선릉점,장독대 김치찌개 정식（1人）/2,2,양도 많고 배달은 빠른데 맛이...
돈까스퐁당떡볶이공수간-구의점,"갈비맛돼지퐁당떡볶이/1(떡볶이맛선택(기본맛),비율선택(반반))",5,맛있게 잘 먹었습니다
스피드박스,"비빔국수/1,산채비빔밥/1",2,제 최애맛집인 곳인데 비빔국수 진짜 너무퍽퍽하고 세입먹고 버림.. 비빔밥도너무 멸치냄새강하고 이것도먹다남김ㅜㅜ
설빙-강남역2호점,"그린티초코설빙/1(스푼선택(스푼 4개)),치즈설빙/1(스푼선택(스푼 4개))",1,이렇게 양이 반토막나서 온 설빙은 처음임
김가네-정자역점,"참치김치볶음밥/1,오징어덮밥/1",5,역쉬~ 분식하면 김가네죠~^^
설빙-강남역2호점,"프리미엄생딸기설빙/1,팥인절미설빙/1,매콤쌀떡볶이/1",2,"배달하는데 거의 한시간.. 너무 오래걸리기도하는데 
예상시간보다 더 늦게왔네요. 팥인절미 시켰는데 팥은 찾을수가 없었습니다."
멕시카나-화양점,순살간장치킨/1(음료(콜라변경1.25L)),5,배개파서 허겁지겁 반이나 먹고 찍은건데 이왜줄지 않죠? 추추천 JMT
장독대김치찌개-선릉점,장독대 김치찜 정식/1,4,배달도 빠르고 맛도 좋아요~ 반찬도 푸짐하게 오는데 맛은 그다지.. 그래도 김치찜하나는 끝내줍니당
