brand,menu,star,review
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,맛났어요 근데 양념은 케첩? 맛이 많이나용 제스타일은 아니지맛 맛있었어용
오태식해바라기치킨-송정점,"세트2.（후라이드＋치즈스틱＋콜라 1.25L）/1(메뉴 선택(순살),메뉴 추가 선택(추가 없음),음료 추가 선택(추가없음))",4,"맛있음.
양은 조금 부족한 듯.."
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음),추가 선택(치즈볼6개추가))",5,잘먹었습니다
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 매콤갈비로변경),음료 추가 선택(추가없음))",5,"잘 먹겠습니다.
배달 빠르고 맛나요"
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,항상 맛있습니다 리뷰이벤트로 씨앗호떡 골랐는데 진짜 작네요 사진에 보이는 저 동그란게 씨앗호떡입니다 다음부턴 그냥 치즈스틱 골라야 겠어요 치킨은 정말정말 맛있으니 주문하세요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,"일단 리뷰 약속으로 별 5개 했습니다.
맛은 저번 후라이드는 바삭 하니 좋았지만 이번 후라이드는 밑에 있는것이 눅져 있다?해야되나 튀김이 바삭하지 않았고 양념은 다를 줄 알았는데 시중에 파는 그런 누구나 아는 맛이라 기대에 미치지 않아 실망했네요
그리고 여러마리를 튀겨 나눈건지  절단을 그렇게 했는지 몰라도 닭다리 사이즈가 달랐습니다.
솔직하게 저번 보다 실망이 커 별 3개 정도 입니다"
오태식해바라기치킨-송정점,"조판수양념치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,"늦은시간까지 해서 너무좋고
양도많고 너무맛있어요!!"
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(뼈),메뉴 추가 선택 1(양념으로 변경),메뉴 선택 2(뼈),메뉴 추가 선택 2(홀갈릭마요로 변경),음료 추가 선택(추가없음))",5,"맛은 늘 최고입니당ㅎ
배달기사분께서도 굉장히 센스있으셔요
애기가있어서 노크해주시구요
친절하심.."
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음)),병진이형 간장치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음)),치즈볼（6개）/1",5,🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗🍗
오태식해바라기치킨-송정점,"조판수양념치킨/1(메뉴 선택(윙봉),음료 추가 선택(추가없음))",5,양념 맛있어요^^ 만족합니다
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(뼈),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(윙봉),메뉴 추가 선택 2(불바라기로 변경),음료 추가 선택(추가없음),추가 선택(마늘갈릭소스,똥집튀김（소） 추가))",5,양도 많고 너무 맛있어요!!!!!!
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,배달도 빠르게 오고 바삭하고 맛있네요ㅎ
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(뼈),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(뼈),메뉴 추가 선택 2(불바라기로 변경),음료 추가 선택(추가없음))",5,엄청 잘 먹었습니다. 소스가 좋네요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반을 간장으로 변경),양념반 선택(양념반),음료 추가 선택(추가없음),추가 선택(우유튀김 7개추가))",4,맛있게  잘먹었습니다.
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 영화 해바라가 대사 깨알같아요 육즙이 있고 진짜 만족 ㅠㅠㅠㅠ 단점은 다른동네라서 너무 멀어
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반을 간장으로 변경),음료 추가 선택(추가없음)),치킨무 추가/1",5,"처음 시켜본 치킨집인데,
맛있어요~
잘먹었습니다^^"
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,"꼭 그렇게 바삭 해야지만 속이 후련 했나요?
사장님..
다음번에 또 시켜야지 맛 잊혀지기전에."
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,오태식해바라기치킨 잘 먹었습니다
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반을 매콤갈비로변경),콜라 사이즈 선택(콜라 1.25L 로 변경),음료 추가 선택(추가없음),추가 선택(모듬감자튀김（300g）추가,집게살튀김2개추가))",5,맛잇는 음식에 무한한 감사
오태식해바라기치킨-송정점,"불바라기치킨/1(메뉴 선택(순살)),병진이형 간장치킨/1(메뉴 선택(윙봉),음료 추가 선택(추가없음))",5,처음 먹어보는데 간도 딱이구 맛잇어요~
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(순살),메뉴 추가 선택 2(홀갈릭마요로 변경),음료 추가 선택(추가없음))",5,맛있게 잘먹었어요~
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(윙봉),후라이드반 선택(후라이드반을 간장으로 변경),양념반 선택(양념반을 매콤갈비로변경),음료 추가 선택(추가없음))",5,이렇게 맛있어야만..속이 후련했냐?!
오태식해바라기치킨-송정점,"옛날통닭＋똥집튀김＋콜라500ml /1(음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,맛있게 잘 먹었습니다 한번씩 생각나서 시키게 되네요. 번창하세요
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음),추가 선택(우유튀김 7개추가)),국물떡볶이/1,치킨무 추가/1",5,맛있어요! 치킨도맛나고 와 떡볶이 맛집이에요!ㅋㅋㅋ
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(간장으로 변경),메뉴 선택 2(순살),메뉴 추가 선택 2(홀갈릭마요로 변경),음료 추가 선택(추가없음),추가 선택(우유튀김 7개추가,똥집튀김（소） 추가))",5,굿굿굿 다맛있어요!!!!
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반을 치즈시즈닝으로변경),양념반 선택(양념반),음료 추가 선택(추가없음)),로제떡볶이/1",5,진짜 맛있게먹었는데 급하게 먹느라 사진을 못찍었어요 ㅠㅠㅠㅠㅠ 양념이 진짜맛있음.. 👍
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음)),병진이형 간장치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음)),우유튀김（15개）/1,마늘갈릭소스/1",3,"후라이드를 딱 하나 먹었을때 닭 누린내가 났어요..그래서 후라이드는 내일 한번 돌려서 먹어보려구요.
에어후라이에 바짝 익혀서요...
닭 누린내 잡을때는 우유에 담그는게 제일 좋은 방법인데..
저는 누린내나는걸 되게 싫어합니다.
더이상 손이 안가네요...
*
고객의 소리에 귀기우려주시고 번창하세요."
오태식해바라기치킨-송정점,"세트6.（후라이드＋똥집튀김＋콜라 1.25L）/1(메뉴 선택(뼈),메뉴 추가 선택(추가 없음),음료 추가 선택(추가없음))",5,양도 많고 맛도 괜찮아요
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음),추가 선택(씨앗호떡5개추가))",5,너무너무 맛있어요ㅠㅠㅠ
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 매콤갈비로변경),음료 추가 선택(추가없음))",5,맛잇게잘먹었습니다!!
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(윙봉),후라이드반 선택(후라이드반을 간장으로 변경),양념반 선택(양념반을 레드로 변경),음료 추가 선택(추가없음),추가 선택(모듬감자튀김（300g）추가))",5,"술안주 할려고 주문해봤는데 양도 그대로 맛도 그대로네요?
오늘의 술은 예거 밤 이였는데 잘 어울렸습니다.
오랜만에 잘 먹었습니다!"
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(윙봉),후라이드반 선택(후라이드반을 홀갈릭마요로 변경),양념반 선택(양념반을 매콤갈비로변경),음료 추가 선택(추가없음)),치즈스틱（8개）/1,양념소스/1,치킨무 추가/2",5,"느끼한게 먹고싶었고 매운게 먹고 싶었다
정말 맛있다 치즈스틱 내사랑 또먹고싶다"
오태식해바라기치킨-송정점,"오태식후라이드치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음))",5,역시 바삭바삭 맛있어요ㅎ후라이드는 오태식이 최고예요ㅎ
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(순살),후라이드반 선택(후라이드반),양념반 선택(양념반),음료 추가 선택(추가없음))",5,"오늘 후라이드....

왜???
바삭바삭 야들야들 따끈따끈 육즙팡팡일까요?

튀겨서 바로 옆집에 룰루랄라 흔들며
갖다준거 같아요ㅋㅋ

튀긴 시간도 살 야들야들하니 딱 좋고
갓튀겨 총알배송 해주셔서 그런지
만족도가 매우 높았습니다

잘 먹었습니다."
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(순살),음료 추가 선택(추가없음),추가 선택(치즈볼 3개추가))",5,맛있게 잘먹었습니당
오태식해바라기치킨-송정점,"해바라기아줌마반반치킨/1(메뉴 선택(뼈),후라이드반 선택(후라이드반),양념반 선택(양념반을 레드로 변경),음료 추가 선택(추가없음))",5,배달도 빠르고 맛있게 먹었네요~
오태식해바라기치킨-송정점,"세트7.（후라이드＋후라이드＋콜라 1.25L）/1(메뉴 선택 1(순살),메뉴 추가 선택 1(추가 없음),메뉴 선택 2(순살),메뉴 추가 선택 2(양념으로 변경),음료 추가 선택(추가없음),추가 선택(우유튀김15개 추가)),생맥주 1500cc/1",5,특유의 향이 너무 좋아요
오태식해바라기치킨-송정점,"병진이형 간장치킨/1(메뉴 선택(뼈),음료 추가 선택(추가없음))",5,간장치킨이 제일 맛있는 것 같아요~ 튀김도 얇고 바삭하고 속은 촉촉하고 야들야들하고 퍽퍽하지 않아서 너무 맛있어요 닭 잡내 때문에 치킨 정말 안 좋아하는데 여기 치킨은 너무 잘 먹어지고 부대끼는 것도 없네요 최고 ㅎㅎ
