restaurant_name,user_id,menu,review_create_time,min_cost,subway,address,category_name,review_context,preprocessed_review_context,total_star,taste_star,quantity_star,delivery_star,image_url,insert_time,keyword
갈비민족-본점,sa**님,"（E벤트고기100g）삼겹고기만/1(사이즈 선택(500g)),（E벤트공기밥＋1＋김）돼지고기 숙성김치찌게/1",2021-11-28 00:00:00,"7,000원",2호선 신설동역,서울특별시 종로구 숭인동 336 336 1층,1인분 주문,"맛있어요..냉면두 김치찌게도 좋고. 고기도 좋고
다 좋아요 가성비도 좋구요^/",맛있어요..냉면두 김치찌게도 좋고. 고기도 좋고 다 좋아요 가성비도 좋구요^,5,5,5,5,-1,2021-12-16 18:03:07,냉면 김치찌개 김치 등 있
시원칼칼한분식,tl**님,"수제김밥/1,찹쌀순대/1,함흥물냉면＋수육/1(추가 선택(일회용（겨자＋식초）선택OO))",2021-09-10 00:00:00,"12,000원",2호선 신대방역,서울 관악구 신림동 531-12 1층,분식,순대는 내장을 안주셔서 조금 아쉬웠어요 ㅠㅠ 김밥진짜 맛있네요 냉면먹고싶어서 시켰는데 김밥에 반했어요 물론 냉면도 맛있습니다!,순대는 내장을 안주셔서 조금 아쉬웠어요 ㅠㅠ 김밥진짜 맛있네요 냉면먹고싶어서 시켰는데 김밥에 반했어요 물론 냉면도 맛있습니다!,5,5,5,5,https://rev-static.yogiyo.co.kr/9ce0ee3fa62ef0487c6e552e44272419.jpg https://rev-static.yogiyo.co.kr/708e57d4724549dfeca6eb751f3e2401.jpg,2021-12-08 21:43:52,김밥 정말 맛있 다 냉면 먹 으라고 주문 했 는데 빠졌 너 사랑 하 고 있
박가족-장안점,yx**님,朴家왕족불족（반반）朴家/1(사이즈 선택(특대)),2021-09-21 00:00:00,"25,000원",2호선 왕십리역,서울 동대문구 장안동 287-6 1층,족발/보쌈,"정말 양도 많고 맛도 좋아요오옹
다음에 또 시켜먹으려고요>_<",정말 양도 많고 맛도 좋아요오옹 다음에 또 시켜먹으려고요,5,5,5,5,-1,2021-12-15 02:13:27,나 양 많 고 맛 좋 다시 먹 게 해 줄게
스시란-군자점,rl**님,"오늘의 초밥/1,New 스파이시 연어스테이크 초밥 2p/1,생연어초밥 2p/1,참치초밥 2p/1,냉모밀/1",2020-07-03 00:00:00,"8,000원",2호선 용답역,서울 광진구 군자동 463-6 태영빌딩 2층,1인분 주문,배달 빠르구요. 양 많고 맛도 정말 맛있습니다! 새우 싫어해서 바꿔달라고 요청했는데 흔쾌히 바꿔주시고 서비스까지 듬뿍 주셨네요ㅠㅠ정말 감사합니다 맛있게 잘 먹겠습니다!! 정말 최고에요!!!,배달 빠르구요. 양 많고 맛도 정말 맛있습니다! 새우 싫어해서 바꿔달라고 요청했는데 흔쾌히 바꿔주시고 서비스까지 듬뿍 주셨네요ㅠㅠ정말 감사합니다 맛있게 잘 먹겠습니다!! 정말 최고에요!!,5,5,5,5,https://rev-static.yogiyo.co.kr/2a4e27e612ef173ee22da6b3b70b21d5.jpg https://rev-static.yogiyo.co.kr/9cb6519d2d9e26d752adc0cf90b2888c.jpg,2021-12-09 00:24:47,양 많 아서 정말 좋 다
노랑통닭-방배점,se**님,엄청 큰 매콤후라이드/1(치킨 선택(순살 치킨)),2020-04-20 00:00:00,"15,000원",2호선 방배역,서울 서초구 방배동 923-6 아크로타워 1층,"치킨, 야식",너무맵긴했는데 그래도 맛있긴 맛있었어요!,너무맵긴했는데 그래도 맛있긴 맛있었어요!,5,5,5,5,-1,2021-12-08 22:07:59,매운 맛 이 지만 맛있
고려삼계탕-시청본점,69**님,"삼계탕/1,산삼삼계탕/1",2021-02-02 00:00:00,"13,000원",2호선 시청역,서울 중구 서소문동 55-3 1층,한식,"급하게 나오느라,사진을못찍었네요
담엔~^^
요청드린대로 국물넉넉히보내주셔서
감사드리구요~기름도안떠있고.
어머니께서  맛있게드셔서 기분좋네요ㅎ
다만,김치캡이 열려서국물이 사방사방ㅠ
담엔김치도 두개보내주시면감사드립니다","급하게 나오느라,사진을못찍었네요 담엔~^^ 요청드린대로 국물넉넉히보내주셔서 감사드리구요~기름도안떠있고. 어머니께서  맛있게드셔서 기분좋네요ㅎ 다만,김치캡이 열려서국물이 사방사방ㅠ 담엔김치도 두개보내주시면감사드립니다",5,5,5,5,-1,2021-12-08 12:01:26,네 부탁 한 수프 많이 보내 줘서 고마워 다만 김치 봉지 열 고 전국 곳곳 마리 주 셔서 감사 합니다
롯데리아-성수역점,da**님,"새우버거/2,새우버거세트/1(디저트 변경(선택 포테이토（L）),드링크 변경(선택 사이다（R）))",2021-11-27 00:00:00,"9,000원",2호선 뚝섬역,서울 성동구 성수동2가 289-4 성수쇼핑센타,"치킨, 야식","빨리 감튀 수급이 좋아지길 바랍니다 감튀맛은 굿이에요
배송 초특급이네요",빨리 감튀 수급이 좋아지길 바랍니다 감튀맛은 굿이에요 배송 초특급이네요,5,5,5,5,-1,2021-12-08 13:28:07,프랑스어 좋 것 이 그것 초 특별 배달 다 그래
한촌설렁탕-건대입구역점,gm**님,특양지설렁탕/1(메뉴 선택(뜨겁게)),2020-10-02 00:00:00,"10,000원",2호선 건대입구역,"서울 광진구 화양동 6-2 연한빌딩 107호, 108호","프랜차이즈, 한식, 야식",요청 사항 잘 들어주시고 맛있어요~~,요청 사항 잘 들어주시고 맛있어요~~,5,5,5,5,-1,2021-12-08 14:45:59,잘 듣 고 맛있 어
쏘핫마라탕&마라샹궈-1호점,손님,"마라샹궈,볶음요리/1(맛선택(2단계, 라면보다 쪼금 더 매운맛),야채 등종류 추가선택(새송이 추가,연근 추가,부족,푸주 추가,넓은당면 추가,옥수수면 추가,치즈떡 추가),고기 꼬치류 등 추가선택(두부모양피쉬볼 추가,소세지 추가,메초리알 추가,소고기 추가))",2021-02-19 00:00:00,"12,000원",2호선 을지로3가역,서울특별시 종로구 관철동 175 지하1층,중국집,와 진짜 맛있어요 ㅠㅠ 맵기도 딱 적당했고요 양도 굿굿😋,와 진짜 맛있어요 ㅠㅠ 맵기도 딱 적당했고요 양도 굿굿 ,5,5,5,5,-1,2021-12-08 13:03:21,매운맛 완벽 했 고 양 좋 다
남가네설악추어탕순대국-영등포구청점,so**님,"추어탕/1(조리선택(조리),추가선택(공기밥 포함)),순두부추어탕（밥불포함）/1(조리선택(조리),추가선택(공기밥 포함)),공기밥/1",2021-12-10 00:00:00,"7,000원",2호선 영등포구청역,서울특별시 영등포구 당산동3가 396-10 1층,1인분 주문,맛있어요 김치는 잘라서오면 먹기 편할텐데,맛있어요 김치는 잘라서오면 먹기 편할텐데,4,4,5,5,-1,2021-12-16 07:33:14,김치 절단 관해서 먹 쉽 다
