brand,menu,star,review
직화신불닭&국물닭발-강북,찜,3,배달오시기전 한번더 확인하셨다면 좋았을텐데그럼 바쁜 시간 전화까지 안했을텐데음식 나쁘지 않고 맛도 괜찮은데 아쉽네요다음부턴 바쁜시간 전화가지 않도록한번더 주문확인 하셨으면 합니다바쁜 시간 음식 배달 감사합니다
직화신불닭&국물닭발-강북,닭발,3,맛은 있는데 양이 조금 적네여사장님 힘내세요
직화신불닭&국물닭발-강북,찜,1,리뷰보고 오늘 처음 기대에 차서 시켰는데 일단 1단계인데도 너무 매워서 결국 못먹었습니다.더 문제는 단맛이 너무 나고 통닭발 먹을때 비린냄새가 너무 심하구요..물 끓여서 원래 양념 씻어내고 양념 다시해서 먹어보려고 했는데 씹으면 닭비린내가 너무 납니다.배달 시켜먹으면서 이런적은 처음이네요..ㅠㅠ
직화신불닭&국물닭발-강북,닭발,1,요즘같이 배달음식점들이 활성화 된 시기에 이곳은 맛은 있습니다. 근데 먹고 전 배아파서 화장실 몇번가고 매운맛 때문인지. 결론 맛은 있는데 가격은 비싸고 양은 많이 적어요.
직화신불닭&국물닭발-강북,닭발,1,첨으로 리뷰 남겨요.와이프와 먹게 삼겹살 3인분600시켰어요.냉동은 그렇다치고.어떻게 이게 600일수가 있나요??생각해보시길...
직화신불닭&국물닭발-강북,닭발,3,맛있어요!!
직화신불닭&국물닭발-강북,찜,2,아 이게 참 뭐라고 설명해야할지 모르겠네요...여기 닭발 진짜 좋아하는데 정말 오랜만에 시켰거든요?근데 그냥 말그대로 닭발이 중국사이즈 닭발이라고 해야하나..너무크고 질기고 억세요.. 뭔가 닭발먹는 느낌도 아니고......한 두세개 먹엇나? 대짜시켰는데 발이 커서그런지 양도 좀 적네요..
직화신불닭&국물닭발-강북,찜,3,그...순살불닭은 왜케양념이 없고 건조허죠.?ㅜㅜ푸석거림
직화신불닭&국물닭발-강북,닭발,1,닭발보단 양배추떡볶이..?같은 느낌이에요
직화신불닭&국물닭발-강북,닭발,2,국물닭발이 아니고 양배추닭발탕?국?생각보다 사이드가 맛있어요 닭날개랑 계란찜이 다 했어요
직화신불닭&국물닭발-강북,찜,3,맛있는데 많이 매워요
직화신불닭&국물닭발-강북,닭발,2,맛은 나쁘진 않은거 같은데..맵기 1단계 시켰는데 너무 매워서 한입먹고 못먹었어요. 입술에 맵기 안사라집니다 돈이 아깝네요
직화신불닭&국물닭발-강북,닭발,3,직화닭발 맛은 그럭저럭 좀 맵네요. 약간 매운맛 선택했는데 그래도 아주 맵네요. 오돌뼈맛은 괜찮네요 먹을만 합니다
직화신불닭&국물닭발-강북,닭발,3,양이 너무적어요후기이벤트 음료수주는건 한번만주는건가요?
직화신불닭&국물닭발-강북,찜,1,분명 약간매운맛이랫는데...뚜껑여는순간부터 맵더라니..닭발한개먹고 손놨어요ㅠㅠ
직화신불닭&국물닭발-강북,닭발,1,맛은 괜찮은거 같은데 1단계 신청했는데도 다들 너무 매워해서 다들 두입먹고 다 그대로 남겼어요....
직화신불닭&국물닭발-강북,찜,2,너무매워요 매운거못먹는사람은 젤약한거 먹었는데도 힘들었네ㅛ
직화신불닭&국물닭발-강북,닭발,3,배달기사님만친절 진짜리뷰많아서주문했는뎆처음으로후회함..국물닭발이아닌..국물닭발국인줄..주먹밥도..김이전부라니..
